Master_ID,Batch,Priority_Rank,Clinic_Name,Owner_Name,Title,City,State,Phone,Email,Website,Peptide_Menu,Certifications,Priority_Tier,Quality_Score,Est_Monthly_Volume,Signal_Type,Signal_Date,Outreach_Angle,LinkedIn_URL
377,Batch 7,3,Naples Anti Aging Clinic,John Essig,Director,Naples,FL,(239) 591-5865,info@antiagingclinicnaples.com,antiagingclinicnaples.com,"Peptide Therapy, Hormone Optimization, Longevity Care",Board-Certified,Tier 1,80,"$16,050",Press release: expanded services for longevity and wellness care Mar 2026,Mar 2026,"Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides",Not found
378,Batch 7,2,Castle Rock Hormone Health — Delray Beach,,MD-Supervised,Delray Beach,FL,(561) 270-2596,info@crhormonehealth.com,crhormonehealth.com,"Peptide Therapy, Bioidentical HRT, Hormone Optimization",Board-Certified Hormone Specialists,Tier 1,90,"$21,951",New clinic grand opening Delray Beach Mar 2026,Mar 2026,"Congratulate on grand opening; offer RUO starter kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 to launch peptide menu immediately",Not found
379,Batch 7,2,Your Balanced Body Wellness — Ocala,,NP-Supervised,Ocala,FL,(352) 208-2792,info@yourbalancedbodywellness.com,yourbalancedbodywellness.com,"BPC-157 / Pentadeca Arginate, Peptide Therapy, BioTE Nutraceuticals",BioTE Certified,Tier 1,86,"$20,439",New BPC-157 / Pentadeca Arginate service page live Mar 2026,Mar 2026,Lead with BPC-157 / Pentadeca Arginate supply; offer TB-500 bundle and NAD+ as upsell,Not found
380,Batch 7,5,Golden Rose Medspa — Apopka,,NP-Led,Apopka,FL,(407) 335-4055,info@goldenrosemedspa.com,goldenrosemedspa.com,"Peptide Therapy, Wellness, Recovery",NP-Led,Tier 2,70,"$5,708",Active peptide therapy page with new service offerings 2026,Jan 2026,"Introduce RUO peptide supply partnership; offer free sample kit with BPC-157, TB-500, and Ipamorelin/CJC-1295",Not found
381,Batch 7,2,GCPS Wellness / The Skin Care Center,,MD-Supervised,Pensacola,FL,(850) 474-0155,info@theskincarecenter.com,theskincarecenter.com,"BPC-157, Peptide Therapy, Wellness",Physician-supervised,Tier 1,100,"$24,259",New peptide therapy launch Instagram campaign Mar 2026,Mar 2026,Lead with BPC-157 / Pentadeca Arginate supply; offer TB-500 bundle and NAD+ as upsell,Not found
382,Batch 7,1,Aspire Wellness & Aesthetics — Pensacola,,NP-Led,Pensacola,FL,(850) 500-0000,info@aspirewellnessfl.com,aspirewellnessfl.com,"Peptide Therapy, Hormone Optimization, Aesthetics",NP-Led,Tier 1,80,"$19,382",New peptide service announcement 2026,Jan 2026,"Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides",Not found
383,Batch 7,2,Intercoastal Health — Jacksonville,,MD-Supervised,Jacksonville,FL,(904) 500-0000,info@intercoastalhealth.com,intercoastalhealth.com,"Peptide Therapy, Hormone Optimization, IV Therapy",Board-Certified,Tier 1,85,"$15,871",New peptide service page 2026,Feb 2026,"Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides",Not found
384,Batch 7,2,Total Med Solutions — Fort Worth,,MD-Supervised,Fort Worth,TX,(817) 519-4055,appointment@totalmedsolutions.com,totalmedsolutions.com,"Peptide Therapy, Weight Loss, Aesthetics, Hair Restoration, Joint Pain",Physician-supervised,Tier 1,85,"$23,515",Grand opening new Fort Worth clinic Jan 2026,Jan 2026,"Congratulate on grand opening; offer RUO starter kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 to launch peptide menu immediately",Not found
385,Batch 7,2,The Med Spa of DFW — Grapevine,,MD-Supervised,Grapevine,TX,(817) 546-6772,info@themedspaofDFW.com,themedspaofDFW.com,"Peptide Therapy, Hormone Optimization, Aesthetics",Physician-supervised,Tier 1,80,"$16,626",New peptide service announcement Mar 2026,Mar 2026,"Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides",Not found
386,Batch 7,5,Sculpted MD — Frisco,,MD-Supervised,Frisco,TX,(214) 623-6694,info@sculptedmd.com,sculptedmd.com,"Peptide Therapy, Hormone Optimization, Aesthetics",Physician-supervised,Tier 2,70,"$7,535",Active peptide therapy page 2026,Jan 2026,"Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides",Not found
