First Name,Last Name,Email,Phone Number,Job Title,Company Name,City,State/Region,Country/Region,Website URL,LinkedIn Bio URL,Lead Source,Lifecycle Stage,Lead Status,Priority Tier,Quality Score,Estimated Monthly Volume,Signal Date,Notes,Original Batch
Saami,Khalifian,concierge@som.md,(760) 766-7546,MD (Double Board-Certified Dermatologist),SOM Aesthetics - Encinitas,Encinitas,CA,United States,https://som.md,Not found,Other,Lead,New,Tier 1,85,"$13,862",Mar 2026,"Signal: New PA with 10 years hormone care added for peptide stacking protocols Mar 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Regenerative Aesthetics, Hormone Optimization | Certifications: Double Board-Certified Dermatologist | Est. Monthly Volume: $13,862 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@selahcenter.com,(619) 736-1761,MD-Supervised,Selah Center - Carlsbad,Carlsbad,CA,United States,https://selahcenter.com,Not found,Other,Lead,New,Tier 1,85,"$19,559",Fall 2025,"Signal: New peptide therapy launch Fall 2025 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $19,559 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@artemedica.com,(707) 577-8292,MD (Plastic Surgery),Artemedica - Santa Rosa,Santa Rosa,CA,United States,https://artemedica.com,Not found,Other,Lead,New,Tier 1,88,"$10,259",Feb 2026,"Signal: New peptide and enzyme therapy page live Feb 2026 | Outreach Angle: Lead with BPC-157 / Pentadeca Arginate supply; offer TB-500 bundle and NAD+ as upsell | Peptide Menu: Peptide & Enzyme Therapy, BPC-157, Regenerative Medicine | Certifications: Board-Certified Plastic Surgeon | Est. Monthly Volume: $10,259 | Batch: Batch 7 | Quality Score: 88",Batch 7
,,info@bffmedical.com,(951) 500-0000,MD-Supervised,BFF Medical - Temecula,Temecula,CA,United States,https://bffmedical.com,Not found,Other,Lead,Open,Tier 2,70,"$8,869",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Introduce RUO peptide supply partnership; offer free sample kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 | Peptide Menu: Peptide Therapy, Fat Loss, Recovery | Certifications: Physician-supervised | Est. Monthly Volume: $8,869 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@livvnatural.com,(619) 500-0000,MD-Supervised,Livv Natural - San Diego,San Diego,CA,United States,https://livvnatural.com,Not found,Other,Lead,Open,Tier 2,70,"$7,271",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Bundle peptide add-ons with IV therapy menu (NAD+, Glutathione, BPC-157); offer IV-compatible formats | Peptide Menu: Peptide Therapy, IV Therapy, Functional Medicine | Certifications: Physician-supervised | Est. Monthly Volume: $7,271 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@purehealthsd.com,(619) 400-0000,MD-Supervised,Pure Health SD - San Diego,San Diego,CA,United States,https://purehealthsd.com,Not found,Other,Lead,Open,Tier 2,70,"$4,120",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $4,120 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,oldtown@ivmenow.com,(312) 350-1822,MD-Supervised,IVme Wellness + Aesthetics - Chicago Old Town,Chicago,IL,United States,https://ivmenow.com,Not found,Other,Lead,New,Tier 1,86,"$13,290",Mar 2026,"Signal: Announcement: now offering 10 new peptides Mar 2026 | Outreach Angle: Lead with NAD+ supply; bundle with Glutathione and BPC-157 for comprehensive longevity protocol | Peptide Menu: 10 New Peptides, NAD+, IV Therapy, HRT, Semaglutide, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $13,290 | Batch: Batch 7 | Quality Score: 86",Batch 7
,,naperville@ivmenow.com,(630) 687-8833,MD-Supervised,IVme Wellness + Aesthetics - Naperville,Naperville,IL,United States,https://ivmenow.com,Not found,Other,Lead,New,Tier 1,86,"$21,508",Mar 2026,"Signal: Announcement: now offering 10 new peptides Mar 2026 | Outreach Angle: Lead with NAD+ supply; bundle with Glutathione and BPC-157 for comprehensive longevity protocol | Peptide Menu: 10 New Peptides, NAD+, IV Therapy, HRT, Semaglutide, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $21,508 | Batch: Batch 7 | Quality Score: 86",Batch 7
,,info@thesapphireluxuryspa.com,(217) 690-4130,NP-Led,The Sapphire Luxury Spa - Effingham,Effingham,IL,United States,https://thesapphireluxuryspa.com,Not found,Other,Lead,New,Tier 1,95,"$13,621",Mar 2026,"Signal: New peptide therapy service launch Mar 2026 | Outreach Angle: Lead with GHK-Cu and BPC-157 for skin/tissue repair; position as aesthetic peptide upgrade | Peptide Menu: Peptide Therapy, Botox, Microneedling, IV Therapy | Certifications: NP-Led | Est. Monthly Volume: $13,621 | Batch: Batch 7 | Quality Score: 95",Batch 7
,,info@alignhealth.com,(847) 500-0000,MD-Supervised,Align Health - Illinois,Chicago,IL,United States,https://alignhealth.com,Not found,Other,Lead,Open,Tier 2,70,"$8,127",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Functional Medicine | Certifications: Physician-supervised | Est. Monthly Volume: $8,127 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@wellnesseditmichigan.com,(734) 540-3348,MD-Supervised,The Wellness Edit Med Spa & Longevity Center - Manchester,Manchester,MI,United States,https://wellnesseditmichigan.com,Not found,Other,Lead,New,Tier 1,85,"$13,307",Feb 2026,"Signal: New med spa and longevity center launch Feb 2026 | Outreach Angle: Lead with GHK-Cu and BPC-157 for skin/tissue repair; position as aesthetic peptide upgrade | Peptide Menu: Peptide Therapy, Longevity Medicine, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $13,307 | Batch: Batch 7 | Quality Score: 85",Batch 7
