Master_ID,Batch,Priority_Rank,Clinic_Name,Owner_Name,Title,City,State,Phone,Email,Website,Peptide_Menu,Certifications,Priority_Tier,Quality_Score,Est_Monthly_Volume,Signal_Type,Signal_Date,Outreach_Angle,LinkedIn_URL
1,Hot Signals 1,1,Covalent Health Wellness and Aesthetics,Dr. Gabriel Suarez,MD MBA,Miami,FL,(786) 953-8867,info@covalenthealth.org,covalenthealth.org,,IFMCP + Functional Medicine,Tier 1,18,High,Active peptide therapy page with functional medicine integration — IFMCP certified founder. Recent website activity March 2026,2026,Lead with full peptide menu savings. IFMCP-certified MD is the highest-education buyer type. Miami FL market — already buying peptides actively.,https://www.linkedin.com/search/results/people/?keywords=Covalent%20Health%20Wellness%20and%20Aesthetics
2,Hot Signals 1,2,Dermestetics Prime Wellness,Practice Owner,MD,Vienna,VA,(703) 698-8162,info@dermestetics.com,dermestetics.com,,Board-Certified Dermatology + Wellness,Tier 1,17,Enterprise,Soft launched Prime Wellness expansion March 10 2026 — Instagram sneak peek post announcing peptide therapy coming to 6 locations,2026,Lead with BPC-157 + full peptide menu volume pricing. 6-location enterprise account just adding peptides — enterprise volume from day one. Northern Virginia = high-income market.,https://www.linkedin.com/search/results/people/?keywords=Dermestetics%20Prime%20Wellness
3,Batch 6 — Certified Buyers,3,Health Works Integrative Medicine,Tonya LaHatte,FNP-C,Brentwood,TN,(615) 927-4281,info@tonyalahatte.com,tonyalahatte.com,"BPC-157, TB-500, Sermorelin, CJC-1295, Ipamorelin, Peptide Therapy",IFMCP + A4M,Tier 1,17,High,Verified Clinic,2026,IFMCP-certified founder — opened 2019 — no corporate supplier. Lead with BPC-157 10mg savings ($32 vs $70 market).,https://www.linkedin.com/search/results/people/?keywords=Health%20Works%20Integrative%20Medicine
4,Batch 6 — Certified Buyers,4,Immediate Care Clinic,Dr. Samuel Crosby,MD,Hattiesburg,MS,(601) 261-3737,info@immediatecarehattiesburg.com,immediatecarehattiesburg.com,"Peptide Therapy, Anti-Aging Medicine, BHRT, Functional Medicine",FAARFM + ABAARM + A4M,Tier 1,17,High,Verified Clinic,2026,FAARFM + ABAARM dual fellowship — the highest certification tier in the database. Hattiesburg MS underserved. Lead with TB-500 savings.,https://www.linkedin.com/search/results/people/?keywords=Immediate%20Care%20Clinic
5,Hot Signals 1,5,The Fatigue Center,Dr. Robert Spencer,MD,Edmond,OK,(405) 849-9772,info@fatiguecenter.com,fatiguecenter.com,,Board-Certified Functional Medicine,Tier 1,17,High,Just launched peptide therapy — Instagram post March 4 2026 announcing peptides now available,2026,Lead with BPC-157 + TB-500 combo kit savings. MD-owned functional medicine clinic just went live with peptides — high-education buyer. GLOW combo = already buying compound kits.,https://www.linkedin.com/search/results/people/?keywords=The%20Fatigue%20Center
6,Hot Signals 2,6,Roseville Trim & Slim,Dr. Lynda Szczech,MD / Owner,Roseville,CA,(916) 633-6773,info@rosevilletrimandslim.com,rosevilletrimandslim.com,,,1,17,High,"Peptides now available — Instagram + Facebook announcement Feb 28, 2026",2026-02-28,Your peptide launch just went live — we supply physician-prescribed peptides at 40-50% below market,https://www.linkedin.com/search/results/people/?keywords=Lynda+Szczech+MD+Roseville+CA
7,Hot Signals 2,8,We Build Champions,NP / Owner,NP / Owner,Sioux Falls,SD,(605) 271-0321,info@webuildchampions.health,webuildchampions.health,,,1,17,High,Now offering KLOW peptide therapy (BPC+GHK-Cu+TB500+KPV) — Facebook 2026,2026-02-01,You're already offering KLOW — we supply the exact KLOW blend (BBG70) at $200 for 10 vials,https://www.linkedin.com/search/results/people/?keywords=Owner+We+Build+Champions+Sioux+Falls+SD
8,Hot Signals 2,9,Oasis Medical Clinic & Spa,Owner / MD,MD / Owner,McKinney,TX,(469) 606-2008,admin@oasismedicalclinic.com,oasisclinicandspa.com,,,1,17,High,"Grand opening Feb 26, 2026 — press release confirmed peptide therapy as core service",2026-02-26,You just opened — we supply Sema + Tirz + BPC-157 at prices that give new clinics a real margin advantage,https://www.linkedin.com/search/results/people/?keywords=Owner+Oasis+Medical+Clinic+Spa+McKinney+TX
9,Hot Signals 2,10,Glamorize Med Spa,Stephanie Carmack,APRN / Owner,St. Petersburg,FL,(727) 761-8852,stephanie@glamorizemedspa.com,glamorizemedspa.com,,,1,17,High,Peptide therapy now available — Instagram announcement March 2026,2026-03-01,Your peptide launch just went live — we supply BPC-157 + Sermorelin + GHK-Cu at prices that protect your margins,https://www.linkedin.com/search/results/people/?keywords=Stephanie+Carmack+APRN+St+Petersburg+FL
10,Hot Signals 2,11,Glow Health & Wellness,Angie Davis,NP / Owner,Destin,FL,(850) 876-4735,info@glowhealthandwellness.com,glowhealthandwellness.com,,,1,17,High,"Grand opening March 4, 2026 — Destin Chamber of Commerce announcement",2026-03-04,You just opened — we supply Sema + BPC-157 + Sermorelin at prices that give new clinics a real margin advantage,https://www.linkedin.com/search/results/people/?keywords=Angie+Davis+NP+Destin+FL+Glow+Health
