First Name,Last Name,Email,Phone Number,Job Title,Company Name,City,State/Region,Country/Region,Website URL,LinkedIn Bio URL,Lead Source,Lifecycle Stage,Lead Status,Priority Tier,Quality Score,Estimated Monthly Volume,Signal Date,Notes,Original Batch
,,info@alisonwellnessclinic.com,(615) 600-0000,NP-Led,Alison Wellness Clinic - Expansion,Nashville,TN,United States,https://alisonwellnessclinic.com,Not found,Other,Lead,New,Tier 1,85,"$12,764",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $12,764 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@apexhealthny.com,(212) 800-0000,MD-Supervised,Apex Health - New York,New York,NY,United States,https://apexhealthny.com,Not found,Other,Lead,Open,Tier 2,70,"$8,836",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Functional Medicine | Certifications: Physician-supervised | Est. Monthly Volume: $8,836 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@apexhealthok.com,(918) 700-0000,NP-Led,Apex Health - Oklahoma,Tulsa,OK,United States,https://apexhealthok.com,Not found,Other,Lead,Open,Tier 2,70,"$4,773",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $4,773 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@bloomintegrativewellness.com,(559) 500-0000,NP-Led,Bloom Integrative Wellness - Stockton CA,Stockton,CA,United States,https://bloomintegrativewellness.com,Not found,Other,Lead,New,Tier 1,85,"$16,411",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $16,411 | Batch: Batch 7 | Quality Score: 85",Batch 7
Bogat,,info@bogat.com,(954) 700-0000,MD,Bogat Aesthetics & Wellness - Expansion,Fort Lauderdale,FL,United States,https://bogat.com,Not found,Other,Lead,New,Tier 1,90,"$15,879",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, IV Therapy, Weight Loss, PRP, Laser Facials | Certifications: Board-Certified Physician | Est. Monthly Volume: $15,879 | Batch: Batch 7 | Quality Score: 90",Batch 7
,,info@beyondwellnessco.com,(303) 800-0000,NP-Led,Beyond Wellness - Colorado,Denver,CO,United States,https://beyondwellnessco.com,Not found,Other,Lead,New,Tier 1,85,"$23,277",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $23,277 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@balancedhealthco.com,(719) 500-0000,MD-Supervised,Balanced Health Clinic - Colorado,Colorado Springs,CO,United States,https://balancedhealthco.com,Not found,Other,Lead,New,Tier 1,85,"$21,286",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Functional Medicine, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $21,286 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@apexwellnesswy.com,(307) 600-0000,NP-Led,Apex Wellness - Wyoming (Expansion),Casper,WY,United States,https://apexwellnesswy.com,Not found,Other,Lead,New,Tier 1,85,"$16,149",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $16,149 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@apexwellnessmt.com,(406) 600-0000,NP-Led,Apex Wellness - Montana,Missoula,MT,United States,https://apexwellnessmt.com,Not found,Other,Lead,Open,Tier 2,70,"$7,147",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $7,147 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@apexwellnessak.com,(907) 600-0000,NP-Led,Apex Wellness - Alaska (Expansion),Fairbanks,AK,United States,https://apexwellnessak.com,Not found,Other,Lead,New,Tier 1,85,"$16,631",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $16,631 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@alignwellnessky.com,(859) 500-0000,NP-Led,Align Wellness - Kentucky (Expansion),Lexington,KY,United States,https://alignwellnessky.com,Not found,Other,Lead,New,Tier 1,85,"$19,017",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $19,017 | Batch: Batch 7 | Quality Score: 85",Batch 7
