"First Name","Last Name","Email Address","Phone Number","Job Title","Company Name","City","State/Region","Country/Region","Website URL","LinkedIn Bio URL","Lifecycle Stage","Lead Status","Industry","Priority Tier","Quality Score","Estimated Monthly Volume","Original Batch","Notes"
"","","info@bloomwellnessboutique.com","+14047000000","NP-Led","Bloom Wellness Boutique - Decatur","Decatur","GA","United States","https://bloomwellnessboutique.com","Not found","lead","New","Healthcare","Tier 2","70","$7,578","Batch 7","Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $7,578 | Batch: Batch 7 | Quality Score: 70"
"Bogat","","info@bogat.com","+13056000000","MD","Bogat Aesthetics and Wellness - Miami","Miami","FL","United States","https://bogat.com","Not found","lead","New","Healthcare","Tier 2","75","$6,419","Batch 7","Signal: Active peptide therapy page 2026 | Outreach Angle: Bundle peptide add-ons with IV therapy menu (NAD+, Glutathione, BPC-157); offer IV-compatible formats | Peptide Menu: Peptide Therapy, IV Therapy, Weight Loss, PRP, Laser Facials | Certifications: Board-Certified Physician | Est. Monthly Volume: $6,419 | Batch: Batch 7 | Quality Score: 75"
"","","info@immediatecareclinic.com","+19186000000","MD-Supervised","Immediate Care Clinic - Oklahoma","Tulsa","OK","United States","https://immediatecareclinic.com","Not found","lead","New","Healthcare","Tier 2","70","$8,210","Batch 7","Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Urgent Care, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $8,210 | Batch: Batch 7 | Quality Score: 70"
"","","info@edgeintegrativewellness.com","+14056000000","NP-Led","Edge Integrative Wellness - Oklahoma","Oklahoma City","OK","United States","https://edgeintegrativewellness.com","Not found","lead","New","Healthcare","Tier 2","70","$5,683","Batch 7","Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Functional Medicine, Hormone Optimization | Certifications: NP-Led | Est. Monthly Volume: $5,683 | Batch: Batch 7 | Quality Score: 70"
"","","info@akwellness.com","+14795000000","NP-Led","AK Wellness & Tanning LLC - Arkansas","Fayetteville","AR","United States","https://akwellness.com","Not found","lead","New","Healthcare","Tier 2","70","$6,577","Batch 7","Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Tanning | Certifications: NP-Led | Est. Monthly Volume: $6,577 | Batch: Batch 7 | Quality Score: 70"
"","","info@alignhealthmo.com","+13146000000","MD-Supervised","Align Health - Missouri","St. Louis","MO","United States","https://alignhealthmo.com","Not found","lead","New","Healthcare","Tier 2","70","$7,660","Batch 7","Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Functional Medicine, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $7,660 | Batch: Batch 7 | Quality Score: 70"
"","","info@amphealthandwellness.com","+19015000000","NP-Led","AMP Health and Wellness - Tennessee","Memphis","TN","United States","https://amphealthandwellness.com","Not found","lead","New","Healthcare","Tier 2","70","$9,651","Batch 7","Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $9,651 | Batch: Batch 7 | Quality Score: 70"
"","","info@aimwellnessia.com","+13195000000","NP-Led","Aim Wellness - Iowa (Expansion)","Cedar Rapids","IA","United States","https://aimwellnessia.com","Not found","lead","New","Healthcare","Tier 1","85","$18,635","Batch 7","Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Hormone Optimization, IV Therapy | Certifications: NP-Led | Est. Monthly Volume: $18,635 | Batch: Batch 7 | Quality Score: 85"
"","","info@1stoptimal.com","+12147000000","MD-Supervised","1st Optimal - Texas","Dallas","TX","United States","https://1stoptimal.com","Not found","lead","New","Healthcare","Tier 2","70","$9,505","Batch 7","Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Performance Medicine | Certifications: Physician-supervised | Est. Monthly Volume: $9,505 | Batch: Batch 7 | Quality Score: 70"
"","","info@balancedbodywellnessmd.com","+13015000000","MD-Supervised","Balanced Body Wellness - Maryland","Rockville","MD","United States","https://balancedbodywellnessmd.com","Not found","lead","New","Healthcare","Tier 2","70","$9,977","Batch 7","Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Functional Medicine, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $9,977 | Batch: Batch 7 | Quality Score: 70"
