First Name,Last Name,Email,Phone Number,Job Title,Company Name,City,State/Region,Country/Region,Website URL,LinkedIn Bio URL,Lead Source,Lifecycle Stage,Lead Status,Priority Tier,Quality Score,Estimated Monthly Volume,Signal Date,Notes,Original Batch
,,info@vitalityslimclinic.com,(281) 546-7904,MD-Supervised,Vitality Slim Clinic - Houston,Houston,TX,United States,https://vitalityslimclinic.com,Not found,Other,Lead,Open,Tier 2,70,"$7,358",Mar 2026,"Signal: 25% OFF peptide services for new clients promotion Mar 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Weight Loss, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $7,358 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@relivehealth.com,(512) 500-0000,MD-Supervised,Relive Health - Texas,Austin,TX,United States,https://relivehealth.com,Not found,Other,Lead,Open,Tier 2,70,"$4,573",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Therapy, Medical Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $4,573 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@fixmedicalgroup.com,(480) 500-0000,MD-Supervised,Fix Medical Group - Scottsdale / Texas,Scottsdale,TX,United States,https://fixmedicalgroup.com,Not found,Other,Lead,Open,Tier 2,70,"$9,250",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $9,250 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@neuagewellness.com,(210) 500-0000,NP-Led,Neu Age Health and Wellness - Texas,San Antonio,TX,United States,https://neuagewellness.com,Not found,Other,Lead,New,Tier 1,80,"$24,737",Feb 2026,"Signal: New peptide service announcement 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, IV Therapy | Certifications: NP-Led | Est. Monthly Volume: $24,737 | Batch: Batch 7 | Quality Score: 80",Batch 7
,,info@revewellness.com,(404) 748-1996,MD-Supervised,Reve Wellness - Atlanta,Atlanta,GA,United States,https://revewellness.com,Not found,Other,Lead,New,Tier 1,85,"$10,898",Nov 2025,"Signal: New peptide therapy launch Nov 2025 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, IV Therapy, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $10,898 | Batch: Batch 7 | Quality Score: 85",Batch 7
Robb,,info@refreshmd.com,(770) 415-3554,MD (Facial Plastics),Refresh MD - Chamblee,Chamblee,GA,United States,https://refreshmd.com,Not found,Other,Lead,New,Tier 1,90,"$24,836",Feb 2026,"Signal: New sister practice grand opening Feb 2026 | Outreach Angle: Congratulate on grand opening; offer RUO starter kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 to launch peptide menu immediately | Peptide Menu: Peptide Therapy, Ozone Therapy, Vitamin Injections, Aesthetics | Certifications: Board-Certified Facial Plastic Surgeon | Est. Monthly Volume: $24,836 | Batch: Batch 7 | Quality Score: 90",Batch 7
,,medspa@revivewoodstock.com,(770) 345-1111,NP-Led,The Med Spa at Revive - Woodstock,Woodstock,GA,United States,https://medspaatrevive.com,Not found,Other,Lead,Open,Tier 2,70,"$9,169",Mar 2026,"Signal: Active peptide therapy promotion Mar 2026 | Outreach Angle: Lead with GHK-Cu and BPC-157 for skin/tissue repair; position as aesthetic peptide upgrade | Peptide Menu: Peptide Therapy, Juvederm, Aesthetics, Wellness | Certifications: NP-Led | Est. Monthly Volume: $9,169 | Batch: Batch 7 | Quality Score: 70",Batch 7
Ginger,"Delph; Dr. Jonathan Hodor, DO",info@coreivtherapy.com,(866) 426-7348,"DO, MS (Medical Director)",Core IV Therapy - Herndon,Herndon,VA,United States,https://coreivtherapy.com,Not found,Other,Lead,Open,Tier 2,78,"$6,616",Mar 2026,"Signal: New advanced peptide therapy service page Mar 2026 | Outreach Angle: Lead with NAD+ supply; bundle with Glutathione and BPC-157 for comprehensive longevity protocol | Peptide Menu: Peptide Therapy, IV Hydration, NAD+, Ozone, HRT, Hyperbaric, Exosomes | Certifications: DO, MS | Est. Monthly Volume: $6,616 | Batch: Batch 7 | Quality Score: 78",Batch 7
Gregory,Alouf,info@aloufaesthetics.com,(540) 375-9070,"MD, MSc",Alouf Aesthetics - Salem,Salem,VA,United States,https://aloufaesthetics.com,Not found,Other,Lead,Open,Tier 2,75,"$7,833",Mar 2026,"Signal: Active peptide therapy + weight loss injection campaign Mar 2026 | Outreach Angle: Lead with GHK-Cu and BPC-157 for skin/tissue repair; position as aesthetic peptide upgrade | Peptide Menu: Peptide Therapy, Weight Loss Injections, Aesthetics | Certifications: MD, MSc | Est. Monthly Volume: $7,833 | Batch: Batch 7 | Quality Score: 75",Batch 7
Arjun,Kanuri,info@cpsdocs.com,(703) 560-2850,MD (Plastic Surgeon),Center for Plastic Surgery - Tyson's Corner / Chevy Chase,Tysons Corner,VA,United States,https://cpsdocs.com,Not found,Other,Lead,New,Tier 1,85,"$20,352",Feb 2026,"Signal: New peptide optimization therapy page Feb 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Optimization Therapy, HRT, Metabolic Aesthetics | Certifications: Board-Certified Plastic Surgeon | Est. Monthly Volume: $20,352 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,synskinaesthetics@gmail.com,(985) 502-1533,NP-Led,Syn Skin Aesthetics & Wellness - Mandeville,Mandeville,LA,United States,https://synskinaesthetics.com,Not found,Other,Lead,New,Tier 1,89,"$10,523",Mar 2026,"Signal: New PA with 10 years hormone care added for peptide stacking protocols Mar 2026 | Outreach Angle: Lead with BPC-157 / Pentadeca Arginate supply; offer TB-500 bundle and NAD+ as upsell | Peptide Menu: Peptide Therapy, NAD+, GHK-Cu, BPC-157, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $10,523 | Batch: Batch 7 | Quality Score: 89",Batch 7
